"","name","country","age","overall","potential","club","pos","value","wage"
"1","Robert Lewandowski","Poland",32,92,92,"FC Bayern München","ST",119500000,270000
"2","C. Ronaldo dos Santos Aveiro","Portugal",36,91,91,"Manchester United","ST",4.5e+07,270000
"3","Kylian Mbappé","France",22,91,95,"Paris Saint-Germain","ST",1.94e+08,230000
"4","Harry Kane","England",27,89,89,"Tottenham Hotspur","ST",1.12e+08,230000
"5","Erling Haaland","Norway",20,88,94,"Borussia Dortmund","ST",143500000,110000
"6","Sergio Agüero","Argentina",33,87,87,"FC Barcelona","ST",5.1e+07,260000
"7","Ciro Immobile","Italy",31,86,86,"Lazio","ST",57500000,115000
"8","Jamie Vardy","England",34,86,86,"Leicester City","ST",3.3e+07,180000
"9","Gerard Moreno Balagueró","Spain",29,86,86,"Villarreal CF","ST",6.8e+07,73000
"10","Romelu Lukaku","Belgium",28,86,86,"Chelsea","ST",69500000,2e+05
"11","Luis Suárez","Uruguay",34,86,86,"Atlético de Madrid","ST",3.3e+07,105000
"12","Lautaro Martínez","Argentina",23,85,89,"Inter","ST",7.8e+07,145000
"13","Antoine Griezmann","France",30,85,85,"Atlético de Madrid","ST",5.3e+07,220000
"14","Duván Zapata","Colombia",30,84,84,"Atalanta","ST",41500000,84000
"15","Edin Džeko","Bosnia and Herzegovina",35,84,84,"Inter","ST",1.8e+07,115000
"16","Iago Aspas Juncal","Spain",33,84,84,"RC Celta de Vigo","ST",2.7e+07,46000
"17","Ángel Correa","Argentina",26,83,84,"Atlético de Madrid","ST",43500000,80000
"18","Timo Werner","Germany",25,83,86,"Chelsea","ST",48500000,145000
"19","Dušan Vlahovic","Serbia",21,83,90,"Juventus","ST",74500000,85000
"20","Zlatan Ibrahimovic","Sweden",39,83,83,"AC Milan","ST",12500000,46000
"21","Wissam Ben Yedder","France",30,83,83,"AS Monaco","ST",35500000,80000
"22","André Miguel Valente da Silva","Portugal",25,83,84,"RB Leipzig","ST",4.4e+07,1e+05
"23","Alexander Isak","Sweden",21,82,86,"Real Sociedad","ST",4.5e+07,37000
"24","Victor Osimhen","Nigeria",22,82,88,"Napoli","ST",49500000,77000
"25","Patrik Schick","Czech Republic",25,82,85,"Bayer 04 Leverkusen","ST",4.1e+07,70000
"26","Sébastien Haller","Côte d'Ivoire",27,82,83,"Ajax","ST",35500000,27000
"27","Raúl De Tomás Gómez","Spain",26,82,83,"RCD Espanyol de Barcelona","ST",36500000,32000
"28","Youssef En-Nesyri","Morocco",24,82,86,"Sevilla FC","ST",4.4e+07,37000
"29","Raúl Jiménez","Mexico",30,82,82,"Wolverhampton Wanderers","ST",3e+07,110000
"30","Alexandre Lacazette","France",30,82,82,"Arsenal","ST",3e+07,110000
"31","Edinson Cavani","Uruguay",34,82,82,"Manchester United","ST",1.5e+07,145000
"32","Marvin Oswaldo Rangel Azevedo","Brazil",29,81,81,"Flamengo","ST",25500000,56000
"33","André-Pierre Gignac","France",35,81,81,"Tigres U.A.N.L.","ST",1.1e+07,50000
"34","Dominic Calvert-Lewin","England",24,81,85,"Everton","ST",37500000,90000
"35","Gonçalo Manuel Ganchinho Guedes","Portugal",24,81,86,"Valencia CF","ST",39500000,43000
"36","Iñaki Williams Arthuer","Spain",27,81,82,"Athletic Club de Bilbao","ST",3e+07,39000
"37","Gaëtan Laborde","France",27,81,81,"Stade Rennais FC","ST",2.8e+07,63000
"38","Marko Arnautovic","Austria",32,81,81,"Bologna","ST",2.1e+07,48000
"39","Richarlison de Andrade","Brazil",24,81,86,"Everton","ST",39500000,90000
"40","Olivier Giroud","France",34,81,81,"AC Milan","ST",12500000,54000
"41","Tammy Abraham","England",23,80,85,"Roma","ST",3.2e+07,57000
"42","Wout Weghorst","Netherlands",28,80,80,"Burnley","ST",21500000,51000
