"","name","country","age","overall","potential","club","pos","value","wage"
"1","N'Golo Kanté","France",30,90,90,"Chelsea","CDM",1e+08,230000
"2","Joshua Kimmich","Germany",26,89,90,"FC Bayern München","CDM",1.08e+08,160000
"3","Carlos Henrique Venancio Casimiro","Brazil",29,89,89,"Real Madrid CF","CDM",8.8e+07,310000
"4","Rodrigo Hernández Cascante","Spain",25,87,89,"Manchester City","CDM",9e+07,190000
"5","Fábio Henrique Tavares","Brazil",27,87,88,"Liverpool","CDM",81500000,175000
"6","Franck Yannick Kessié","Côte d'Ivoire",24,84,86,"AC Milan","CDM",49500000,51000
"7","Sergio Busquets Burgos","Spain",32,84,84,"FC Barcelona","CDM",2.8e+07,175000
"8","Marcelo Brozovic","Croatia",28,84,84,"Inter","CDM",3.7e+07,130000
"9","Fernando Reges Mouta","Brazil",33,84,84,"Sevilla FC","CDM",2.1e+07,43000
"10","Thomas Partey","Ghana",28,84,84,"Arsenal","CDM",3.7e+07,115000
"11","Wilfred Ndidi","Nigeria",24,84,86,"Leicester City","CDM",49500000,110000
"12","Declan Rice","England",22,83,88,"West Ham United","CDM",5.1e+07,76000
"13","Pierre-Emile Højbjerg","Denmark",25,82,84,"Tottenham Hotspur","CDM",34500000,95000
"14","Sandro Tonali","Italy",21,82,90,"AC Milan","CDM",64500000,35000
"15","Tomáš Soucek","Czech Republic",26,82,84,"West Ham United","CDM",3.4e+07,81000
"16","Manuel Locatelli","Italy",23,82,86,"Juventus","CDM",4e+07,74000
"17","Idrissa Gueye","Senegal",31,82,82,"Paris Saint-Germain","CDM",21500000,88000
"18","Allan Marques Loureiro","Brazil",30,81,81,"Everton","CDM",21500000,86000
"19","Ismaël Bennacer","Algeria",23,81,85,"AC Milan","CDM",33500000,39000
"20","Yves Bissouma","Mali",24,81,86,"Brighton & Hove Albion","CDM",35500000,57000
"21","Konrad Laimer","Austria",24,81,84,"RB Leipzig","CDM",3.2e+07,65000
"22","Thomas Delaney","Denmark",29,81,81,"Sevilla FC","CDM",2.2e+07,34000
"23","Kalvin Phillips","England",25,81,85,"Leeds United","CDM",32500000,82000
"24","Axel Witsel","Belgium",32,81,81,"Borussia Dortmund","CDM",1.7e+07,61000
"25","Fernando Luiz Rosa","Brazil",36,81,81,"Manchester City","CDM",5e+06,86000
"26","Denis Zakaria","Switzerland",24,81,86,"Juventus","CDM",35500000,68000
"27","Rosberto J. Dourado Santos","Brazil",21,81,81,"Sport Club Corinthians Paulista","CDM",2.7e+07,26000
"28","Leandro Paredes","Argentina",27,80,81,"Paris Saint-Germain","CDM",21500000,76000
"29","Frederico de Paula Santos","Brazil",28,80,80,"Manchester United","CDM",18500000,110000
"30","Boubacar Kamara","France",21,80,86,"Olympique de Marseille","CDM",3.1e+07,30000
