"","name","country","age","overall","potential","club","pos","value","wage"
"1","João Pedro Cavaco Cancelo","Portugal",27,88,89,"Manchester City","LB",9.6e+07,240000
"2","Andrew Robertson","Scotland",27,87,87,"Liverpool","LB",7.7e+07,175000
"3","Marcos Acuña","Argentina",29,84,84,"Sevilla FC","LB",3.7e+07,45000
"4","Alphonso Davies","Canada",20,84,89,"FC Bayern München","LB",58500000,70000
"5","Theo Hernández","France",23,84,89,"AC Milan","LB",59500000,51000
"6","Jordi Alba Ramos","Spain",32,84,84,"FC Barcelona","LB",2.9e+07,175000
"7","Lucas Digne","France",27,83,83,"Aston Villa","LB",3.5e+07,86000
"8","José Luís Gayà Peña","Spain",26,83,86,"Valencia CF","LB",43500000,48000
"9","Ferland Mendy","France",26,83,86,"Real Madrid CF","LB",43500000,170000
"10","Leonardo Spinazzola","Italy",28,83,83,"Roma","LB",3.3e+07,72000
"11","Raphaël Guerreiro","Portugal",27,83,83,"Borussia Dortmund","LB",3.5e+07,72000
"12","Alejandro Grimaldo García","Spain",25,82,85,"SL Benfica","LB",3.7e+07,18000
"13","Yuri Berchiche Izeta","Spain",31,82,82,"Athletic Club de Bilbao","LB",2.2e+07,35000
"14","Luke Shaw","England",25,82,84,"Manchester United","LB",3.5e+07,115000
"15","Alex Sandro Lobo Silva","Brazil",30,81,81,"Juventus","LB",2.2e+07,80000
"16","Kieran Tierney","Scotland",24,81,87,"Arsenal","LB",3.8e+07,74000
"17","Daley Blind","Netherlands",31,81,81,"Ajax","LB",18500000,21000
"18","Renan Augusto Lodi dos Santos","Brazil",23,81,86,"Atlético de Madrid","LB",36500000,49000
"19","Nicolás Tagliafico","Argentina",28,81,81,"Ajax","LB",23500000,22000
"20","Alex Nicolao Telles","Brazil",28,80,80,"Manchester United","LB",1.9e+07,110000
"21","Nuno Alexandre Tavares Mendes","Portugal",19,80,88,"Paris Saint-Germain","LB",43500000,9000
"22","Juan Bernat Velasco","Spain",28,80,80,"Paris Saint-Germain","LB",1.9e+07,79000
"23","Ismaily Gonçalves dos S.","Brazil",31,80,80,"Shakhtar Donetsk","LB",15500000,1000
"24","Christian Günter","Germany",28,80,80,"Sport-Club Freiburg","LB",1.9e+07,34000
"25","Alexandre Moreno Lopera","Spain",28,80,80,"Real Betis Balompié","LB",1.9e+07,29000
