"","name","country","age","overall","potential","club","pos","value","wage"
"1","Karim Benzema","France",33,91,91,"Real Madrid CF","CF",8.4e+07,450000
"2","Paulo Dybala","Argentina",27,87,87,"Juventus","CF",86500000,160000
"3","Diogo José Teixeira da Silva","Portugal",24,85,89,"Liverpool","CF",7.8e+07,155000
"4","Memphis Depay","Netherlands",27,85,85,"FC Barcelona","CF",58500000,220000
"5","Roberto Firmino Barbosa de Oliveira","Brazil",29,85,85,"Liverpool","CF",5.4e+07,185000
"6","Dries Mertens","Belgium",34,84,84,"Napoli","CF",20500000,105000
"7","João Félix Sequeira","Portugal",21,83,91,"Atlético de Madrid","CF",8.2e+07,61000
"8","Ruslan Malinovskyi","Ukraine",28,82,82,"Atalanta","CF",3.1e+07,73000
"9","Anderson Souza Conceição","Brazil",27,82,82,"Al Nassr","CF",3.3e+07,61000
"10","Josip Iličić","Slovenia",33,82,82,"Atalanta","CF",19500000,70000
"11","Kevin Volland","Germany",28,81,81,"AS Monaco","CF",26500000,70000
"12","Joaquín Correa","Argentina",26,81,82,"Inter","CF",3.1e+07,76000
"13","Nicolò Zaniolo","Italy",21,80,88,"Roma","CF",47500000,49000
"14","Max Kruse","Germany",33,80,80,"VfL Wolfsburg","CF",13500000,74000
"15","Alexis Sánchez","Chile",32,80,80,"Inter","CF",1.7e+07,105000
"16","Antonín Barák","Czech Republic",26,80,81,"Hellas Verona","CF",2.5e+07,38000
"17","Ricardo Jorge da Luz Horta","Portugal",26,79,80,"SC Braga","CF",2.1e+07,20000
"18","Alassane Plea","France",28,78,78,"Borussia Mönchengladbach","CF",14500000,35000
"19","Romário Ricardo da Silva","Brazil",30,78,78,"Al Ittihad","CF",1.4e+07,45000
"20","Franck Ribéry","France",38,78,78,"US Salernitana 1919","CF",4800000,37000
"21","Sofiane Boufal","Morocco",27,77,77,"Angers SCO","CF",11500000,27000
"22","Josip Brekalo","Croatia",23,77,84,"Torino F.C.","CF",21500000,52000
"23","Gianluca Caprari","Italy",27,77,77,"Hellas Verona","CF",11500000,23000
"24","Takumi Minamino","Japan",26,76,77,"Liverpool","CF",9e+06,88000
"25","Maximilian Philipp","Germany",27,76,76,"VfL Wolfsburg","CF",8e+06,55000
"26","Luca Waldschmidt","Germany",25,75,80,"VfL Wolfsburg","CF",8500000,51000
"27","Marko Pjaca","Croatia",26,75,76,"Torino F.C.","CF",6500000,63000
"28","Hatem Ben Arfa","France",34,75,75,"LOSC Lille","CF",2700000,34000
"29","Djordje Mihailovic","United States",22,75,81,"Club de Foot Montréal","CF",9e+06,9000
"30","Kemar Roofe","Jamaica",28,74,74,"Rangers FC","CF",4300000,48000
"31","Iván López Álvarez","Spain",27,73,74,"Raków Częstochowa","CF",3600000,9000
"32","Matěj Vydra","Czech Republic",29,73,73,"Burnley","CF",3e+06,31000
"33","Luiz Guilherme da Conceição Silva","Brazil",35,73,73,"Shijiazhuang Ever Bright F.C.","CF",1300000,7000
"34","Khama Billiat","Zimbabwe",30,73,73,"Kaizer Chiefs","CF",3e+06,950
"35","Lukas Podolski","Germany",36,72,72,"Górnik Zabrze","CF",8e+05,6000
"36","Nathanaël Mbuku","France",19,72,83,"Stade de Reims","CF",5e+06,12000
"37","Woo Yeong Jeong","Korea Republic",21,72,78,"Sport-Club Freiburg","CF",3800000,16000
"38","Iván Franco","Paraguay",21,71,80,"Club Libertad","CF",4200000,700
"39","Sergio Díaz","Paraguay",23,70,75,"Club Cerro Porteño","CF",2400000,600
"40","Louka Prip","Denmark",24,69,72,"Aalborg BK","CF",1900000,7000
"41","Takashi Usami","Japan",29,69,69,"Gamba Osaka","CF",1400000,7000
"42","Xavi Simons","Netherlands",18,69,82,"Paris Saint-Germain","CF",3300000,13000
"43","Mateo Klimowicz","Germany",20,68,78,"VfB Stuttgart","CF",2700000,9000
"44","Gustav Ludwigson","Sweden",27,68,68,"Hammarby IF","CF",1300000,3000
"45","Eddie Salcedo","Italy",19,68,79,"Spezia","CF",2600000,19000
"46","Leandro Otormín","Uruguay",24,68,73,"Club Nacional de Football","CF",1800000,500
"47","Mikhail Ignatov","Russia",21,67,77,"Spartak Moskva","CF",2300000,14000
"48","Frank Castañeda","Colombia",26,67,68,"Warta Poznań","CF",1200000,2000
"49","Bojan Krkić Pérez","Spain",30,67,67,"Vissel Kobe","CF",1e+06,4000
"50","Ebrima Colley","Gambia",21,67,76,"Spezia","CF",2300000,12000
"51","Yamato Machida","Japan",31,67,67,"Oita Trinita","CF",850000,2000
"52","Luan David Capanni Dias","Brazil",20,66,76,"AC Milan","CF",1900000,8000
"53","Naoki Nomura","Japan",30,66,66,"Oita Trinita","CF",850000,2000
"54","Yusuke Matsuo","Japan",23,66,70,"Urawa Red Diamonds","CF",1200000,4000
"55","Gilson Benchimol Tavares","Cape Verde Islands",19,66,77,"Estoril Praia","CF",1900000,2000
"56","Mateusz Praszelik","Poland",20,65,76,"Hellas Verona","CF",1600000,2000
"57","Johan Arath Gómez","United States",19,65,77,"FSV Zwickau","CF",1700000,600
"58","Jason Lokilo","Congo DR",22,65,71,"Górnik Łęczna","CF",1200000,1000
"59","Sam Greenwood","England",19,65,81,"Leeds United","CF",1900000,11000
"60","Alexis Tibidi","France",17,64,82,"VfB Stuttgart","CF",1500000,1000
"61","André Anderson Pomilio Lima","Italy",21,64,74,"Lazio","CF",1300000,9000
"62","Arata Watanabe","Japan",25,64,66,"Oita Trinita","CF",750000,1000
"63","Emiliano Villar","Uruguay",21,64,74,"Cerro Largo Fútbol Club","CF",1300000,500
"64","Matko Miljevic","United States",20,64,74,"Club de Foot Montréal","CF",1300000,2000
"65","Miguel Maria Mariano Falé","Portugal",17,63,78,"SC Braga","CF",1100000,650
"66","Tihomir Kostadinov","North Macedonia",25,63,66,"Piast Gliwice","CF",650000,2000
"67","David Philipp","Germany",21,63,72,"Viktoria Köln","CF",1100000,1000
"68","Aljoša Matko","Slovenia",21,63,73,"Hammarby IF","CF",1100000,1000
"69","Marcel Zylla","Poland",21,62,70,"Śląsk Wrocław","CF",9e+05,1000
"70","Jayson Papeau","France",25,62,64,"Warta Poznań","CF",5e+05,950
"71","Bartosz Bida","Poland",20,62,74,"Jagiellonia Białystok","CF",975000,2000
"72","Daniel Szelągowski","Poland",18,62,77,"Warta Poznań","CF",925000,800
"73","Kevin Piscopo","Italy",23,61,69,"Empoli","CF",725000,7000
"74","Taichi Kikuchi","Japan",22,61,70,"Sagan Tosu","CF",750000,900
"75","Yuto Iwasaki","Japan",23,61,67,"Sagan Tosu","CF",525000,1000
"76","Isak Jansson","Sweden",19,61,73,"Kalmar FF","CF",775000,550
"77","Gabriel Vidovic","Croatia",17,60,79,"FC Bayern München","CF",625000,2000
"78","Julian Hettwer","Germany",18,60,71,"MSV Duisburg","CF",525000,650
"79","Kobamelo Kodisang","South Africa",21,60,69,"SC Braga","CF",550000,2000
"80","Kaito Mizuta","Japan",21,60,67,"1. FSV Mainz 05","CF",5e+05,3000
"81","Noah Shamoun","Sweden",18,60,74,"Kalmar FF","CF",575000,500
"82","Tommaso De Nipoti","Italy",17,60,80,"Atalanta","CF",675000,1000
"83","Brahima Ouattara","Côte d'Ivoire",18,60,75,"FC Lausanne-Sport","CF",575000,2000
"84","Yutaro Oda","Japan",19,59,71,"Vissel Kobe","CF",550000,1000
"85","Yusei Yashiki","Japan",17,59,74,"Oita Trinita","CF",525000,500
"86","Ben Bobzien","Germany",18,59,75,"1. FSV Mainz 05","CF",575000,2000
"87","Philip Yeboah","Ghana",18,59,75,"Hellas Verona","CF",575000,2000
"88","Sabino Signorile","Italy",18,59,75,"AC Milan","CF",575000,2000
"89","Valentin Dumitrache","Romania",18,57,73,"FC Academica Clinceni","CF",425000,550
"90","Diego Gutierrez","United States",22,56,64,"Portland Timbers","CF",325000,1000
"91","Tsiki Ntsabeleng","South Africa",23,56,63,"FC Dallas","CF",3e+05,1000
"92","Adhavan Rajamohan","Sweden",28,56,56,"Degerfors IF","CF",150000,800
"93","Victor Backman","Sweden",20,56,66,"Kalmar FF","CF",325000,650
"94","Ryan De Vries","New Zealand",29,55,55,"Sligo Rovers","CF",130000,550
"95","Johann Ngounou Djayo","Germany",20,55,68,"TSV 1860 München","CF",3e+05,550
"96","Shin-Hyung Lee","Germany",20,54,66,"SV Waldhof Mannheim 07","CF",250000,600
"97","Wei Ren","China PR",24,54,59,"Hebei FC","CF",160000,2000
