[2022-05-06 12:38:22,575] INFO Scraping started...
[2022-05-06 12:38:23,686] INFO Scraping finished.
[2022-05-06 12:38:24,698] INFO Generating CSV file...
[2022-05-06 12:40:43,181] INFO Scraping started...
[2022-05-06 12:40:44,275] INFO Scraping finished.
[2022-05-06 12:40:45,288] INFO Generating CSV file...
[2022-05-06 12:42:35,952] INFO Scraping started...
[2022-05-06 12:42:36,983] INFO Scraping finished.
[2022-05-06 12:42:37,984] INFO Generating CSV file...
[2022-05-06 12:43:49,875] INFO Scraping started...
[2022-05-06 12:43:51,109] INFO Scraping finished.
[2022-05-06 12:43:52,109] INFO Generating CSV file...
[2022-05-06 12:45:58,733] INFO Scraping started...
[2022-05-06 12:46:00,199] INFO Page1 scraped
[2022-05-06 12:46:01,465] INFO Page2 scraped
[2022-05-06 12:46:01,466] INFO Scraping finished.
[2022-05-06 12:46:02,480] INFO Generating CSV file...
[2022-05-06 12:46:02,506] INFO CSV file is generated.
[2022-05-06 12:46:41,377] INFO Scraping started...
[2022-05-06 12:46:42,781] INFO Page1 scraped
[2022-05-06 12:46:43,929] INFO Page2 scraped
[2022-05-06 12:46:43,930] INFO Scraping finished.
[2022-05-06 12:46:44,944] INFO Generating CSV file...
[2022-05-06 12:46:44,959] INFO CSV file is generated.
[2022-05-06 12:47:06,721] INFO Scraping started...
[2022-05-06 12:47:07,918] INFO Scraping finished.
[2022-05-06 12:47:08,932] INFO Generating CSV file...
[2022-05-06 12:47:35,594] INFO Scraping started...
[2022-05-06 12:47:39,099] INFO Page1 scraped
[2022-05-06 12:47:41,560] INFO Page2 scraped
[2022-05-06 12:47:41,562] INFO Scraping finished.
[2022-05-06 12:47:42,565] INFO Generating CSV file...
[2022-05-06 12:49:41,496] INFO CSV file is generated.
[2022-05-06 12:50:15,803] INFO Scraping started...
[2022-05-06 12:50:17,173] INFO Page1 scraped
[2022-05-06 12:50:18,621] INFO Page2 scraped
[2022-05-06 12:50:18,621] INFO Scraping finished.
[2022-05-06 12:50:19,634] INFO Generating CSV file...
[2022-05-06 12:50:19,665] INFO CSV file is generated.
[2022-05-06 12:50:22,730] INFO Scraping started...
[2022-05-06 12:50:24,157] INFO Page3 scraped
[2022-05-06 12:50:25,287] INFO Page4 scraped
[2022-05-06 12:50:25,287] INFO Scraping finished.
[2022-05-06 12:50:26,289] INFO Generating CSV file...
[2022-05-06 12:50:26,312] INFO CSV file is generated.
[2022-05-06 12:50:46,754] INFO Scraping started...
[2022-05-06 12:50:48,351] INFO Page5 scraped
[2022-05-06 12:50:49,895] INFO Page6 scraped
[2022-05-06 12:50:49,895] INFO Scraping finished.
[2022-05-06 12:50:50,905] INFO Generating CSV file...
[2022-05-06 12:50:50,929] INFO CSV file is generated.
[2022-05-06 12:51:31,927] INFO Scraping started...
[2022-05-06 12:51:33,578] INFO Page1 scraped
[2022-05-06 12:51:34,966] INFO Page2 scraped
[2022-05-06 12:51:34,968] INFO Scraping finished.
[2022-05-06 12:51:35,980] INFO Generating CSV file...
[2022-05-06 12:51:36,012] INFO CSV file is generated.
[2022-05-06 13:11:47,007] INFO Scraping started...
[2022-05-06 13:11:48,418] INFO Page1 scraped
[2022-05-06 13:11:49,616] INFO Page2 scraped
[2022-05-06 13:11:49,617] INFO Scraping finished.
[2022-05-06 13:11:50,618] INFO Generating CSV file...
[2022-05-06 13:11:50,633] INFO CSV file is generated.
[2022-05-06 13:12:20,232] INFO Scraping started...
[2022-05-06 13:12:26,508] INFO Page1 scraped
[2022-05-06 13:12:41,180] INFO Page2 scraped
[2022-05-06 13:12:44,406] INFO Page3 scraped
[2022-05-06 13:12:44,505] INFO Page4 scraped
[2022-05-06 13:12:44,655] INFO Page5 scraped
[2022-05-06 13:12:46,429] INFO Page6 scraped
[2022-05-06 13:12:46,604] INFO Page7 scraped
[2022-05-06 13:12:47,493] INFO Page8 scraped
[2022-05-06 13:12:47,687] INFO Page9 scraped
[2022-05-06 13:12:47,725] INFO Page10 scraped
[2022-05-06 13:12:47,974] INFO Page11 scraped
[2022-05-06 13:12:48,424] INFO Page12 scraped
[2022-05-06 13:12:48,932] INFO Page13 scraped
[2022-05-06 13:12:49,269] INFO Page14 scraped
[2022-05-06 13:12:49,458] INFO Page15 scraped
[2022-05-06 13:12:49,876] INFO Page16 scraped
[2022-05-06 13:12:49,902] INFO Page17 scraped
[2022-05-06 13:12:50,155] INFO Page18 scraped
[2022-05-06 13:12:50,536] INFO Page19 scraped
[2022-05-06 13:12:50,628] INFO Page20 scraped
[2022-05-06 13:12:50,939] INFO Page21 scraped
[2022-05-06 13:12:50,946] INFO Page22 scraped
[2022-05-06 13:12:50,980] INFO Page23 scraped
[2022-05-06 13:12:51,210] INFO Page24 scraped
[2022-05-06 13:12:51,661] INFO Page25 scraped
[2022-05-06 13:12:51,777] INFO Page26 scraped
[2022-05-06 13:12:51,881] INFO Page27 scraped
[2022-05-06 13:12:51,890] INFO Page28 scraped
[2022-05-06 13:12:51,922] INFO Page29 scraped
[2022-05-06 13:12:51,995] INFO Page30 scraped
[2022-05-06 13:12:52,081] INFO Page31 scraped
[2022-05-06 13:12:53,887] INFO Page32 scraped
[2022-05-06 13:12:56,653] INFO Page33 scraped
[2022-05-06 13:12:56,865] INFO Page34 scraped
[2022-05-06 13:12:57,226] INFO Page35 scraped
[2022-05-06 13:12:57,713] INFO Page36 scraped
[2022-05-06 13:12:58,088] INFO Page37 scraped
[2022-05-06 13:12:58,351] INFO Page38 scraped
[2022-05-06 13:12:58,607] INFO Page39 scraped
[2022-05-06 13:12:59,110] INFO Page40 scraped
[2022-05-06 13:13:00,544] INFO Page41 scraped
[2022-05-06 13:13:01,288] INFO Page42 scraped
[2022-05-06 13:13:03,710] INFO Page43 scraped
[2022-05-06 13:13:07,820] INFO Page44 scraped
[2022-05-06 13:13:08,708] INFO Page45 scraped
[2022-05-06 13:13:09,267] INFO Page46 scraped
[2022-05-06 13:13:10,164] INFO Page47 scraped
[2022-05-06 13:13:11,037] INFO Page48 scraped
[2022-05-06 13:13:11,390] INFO Page49 scraped
[2022-05-06 13:13:11,922] INFO Page50 scraped
[2022-05-06 13:13:12,088] INFO Page51 scraped
[2022-05-06 13:13:12,883] INFO Page53 scraped
[2022-05-06 13:13:12,882] INFO Page52 scraped
[2022-05-06 13:13:13,766] INFO Page54 scraped
[2022-05-06 13:13:14,286] INFO Page55 scraped
[2022-05-06 13:13:14,484] INFO Page56 scraped
[2022-05-06 13:13:14,644] INFO Page57 scraped
[2022-05-06 13:13:14,798] INFO Page58 scraped
[2022-05-06 13:13:14,893] INFO Page59 scraped
[2022-05-06 13:13:14,955] INFO Page60 scraped
[2022-05-06 13:13:15,113] INFO Page61 scraped
[2022-05-06 13:13:16,074] INFO Page63 scraped
[2022-05-06 13:13:16,244] INFO Page62 scraped
[2022-05-06 13:13:17,311] INFO Page64 scraped
[2022-05-06 13:13:17,948] INFO Page65 scraped
[2022-05-06 13:13:18,243] INFO Page66 scraped
[2022-05-06 13:13:19,343] INFO Page67 scraped
[2022-05-06 13:13:19,395] INFO Page68 scraped
[2022-05-06 13:13:21,078] INFO Page69 scraped
[2022-05-06 13:13:21,607] INFO Page70 scraped
[2022-05-06 13:13:21,845] INFO Page71 scraped
[2022-05-06 13:13:22,828] INFO Page72 scraped
[2022-05-06 13:13:22,956] INFO Page73 scraped
[2022-05-06 13:13:23,583] INFO Page74 scraped
[2022-05-06 13:13:24,085] INFO Page75 scraped
[2022-05-06 13:13:26,996] INFO Page76 scraped
[2022-05-06 13:13:27,168] INFO Page77 scraped
[2022-05-06 13:13:28,126] INFO Page78 scraped
[2022-05-06 13:13:29,283] INFO Page79 scraped
[2022-05-06 13:13:29,820] INFO Page80 scraped
[2022-05-06 13:13:31,362] INFO Page81 scraped
[2022-05-06 13:13:31,624] INFO Page82 scraped
[2022-05-06 13:13:31,672] INFO Page83 scraped
[2022-05-06 13:13:31,735] INFO Page84 scraped
[2022-05-06 13:13:32,173] INFO Page85 scraped
[2022-05-06 13:13:32,754] INFO Page86 scraped
[2022-05-06 13:13:32,878] INFO Page87 scraped
[2022-05-06 13:13:33,057] INFO Page88 scraped
[2022-05-06 13:13:34,064] INFO Page89 scraped
[2022-05-06 13:13:34,313] INFO Page90 scraped
[2022-05-06 13:13:34,969] INFO Page91 scraped
[2022-05-06 13:13:36,491] INFO Page92 scraped
[2022-05-06 13:13:37,222] INFO Page93 scraped
[2022-05-06 13:13:37,727] INFO Page94 scraped
[2022-05-06 13:13:38,957] INFO Page95 scraped
[2022-05-06 13:13:39,554] INFO Page96 scraped
[2022-05-06 13:13:41,934] INFO Page97 scraped
[2022-05-06 13:13:42,751] INFO Page98 scraped
[2022-05-06 13:13:42,973] INFO Page99 scraped
[2022-05-06 13:13:43,641] INFO Page100 scraped
[2022-05-06 13:13:44,759] INFO Page101 scraped
[2022-05-06 13:13:44,861] INFO Page102 scraped
[2022-05-06 13:13:45,573] INFO Page103 scraped
[2022-05-06 13:13:46,039] INFO Page104 scraped
[2022-05-06 13:13:47,071] INFO Page105 scraped
[2022-05-06 13:13:47,438] INFO Page106 scraped
[2022-05-06 13:13:48,580] INFO Page107 scraped
[2022-05-06 13:13:48,920] INFO Page108 scraped
[2022-05-06 13:13:49,008] INFO Page109 scraped
[2022-05-06 13:13:49,105] INFO Page110 scraped
[2022-05-06 13:13:49,149] INFO Page111 scraped
[2022-05-06 13:13:49,224] INFO Page112 scraped
[2022-05-06 13:13:49,277] INFO Page113 scraped
[2022-05-06 13:13:51,443] INFO Page114 scraped
[2022-05-06 13:13:52,385] INFO Page115 scraped
[2022-05-06 13:13:52,920] INFO Page116 scraped
[2022-05-06 13:13:53,921] INFO Page117 scraped
[2022-05-06 13:13:54,997] INFO Page118 scraped
[2022-05-06 13:13:55,829] INFO Page119 scraped
[2022-05-06 13:13:56,060] INFO Page120 scraped
[2022-05-06 13:13:56,881] INFO Page121 scraped
[2022-05-06 13:13:58,133] INFO Page122 scraped
[2022-05-06 13:13:58,195] INFO Page123 scraped
[2022-05-06 13:13:58,455] INFO Page124 scraped
[2022-05-06 13:13:59,470] INFO Page125 scraped
[2022-05-06 13:13:59,570] INFO Page126 scraped
